rn	rab.all	rab.win.hide.lime.Day.6	rab.win.hide.untreated.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K00001	6.13457255692332	5.31236495355274	6.94434126436817	1.61408849516892	0.182218088539282	8.65390116170724	4.67861010389608e-05	0.000224546067932485	0.037022586969369	0.0999999999999986	0.197132258007463
K00002	-7.97163192382729	-7.08768048604965	-9.2643922451525	-2.70205567420227	3.60242686638176	-0.701611159501033	0.196535660675118	0.296851704375909	0.444543004840996	0.409699999999998	0.520329613498499
K00003	6.11079824522037	5.41631854170016	6.61867737978068	1.21405355254158	0.248851652404664	4.5379038089814	4.67861010389608e-05	0.0130521892919025	0.080534443158968	0.0999999999999986	0.197132258007463
K00004	2.93281422531805	2.24773911793407	3.9298680193101	1.66787952635777	0.44079406775598	3.89869123260338	4.67861010389608e-05	0.00353552645627985	0.0524927324914242	0.0999999999999986	0.197132258007463
K00005	2.58482926548222	2.40895640182443	2.6414614671318	0.226030317443373	1.019705888117	0.283812122106254	0.336442378526689	0.774572637918528	0.858288213725273	0.709900000000006	0.815065456307871
K00006	-5.62995082929405	-4.55550925796681	-9.24122041712697	-4.66534485682085	2.54006412245387	-1.76897493584585	0.00466765330333885	0.0734294868807027	0.194420749972141	0.105699999999999	0.204467477091911
K00007	1.66920502944942	1.59448174472459	1.7960034773524	0.206734973768846	0.845104284000649	0.239115164746279	0.424000002881386	0.673928058649636	0.78799349581634	0.953200000000002	0.970117835256042
K00008	2.17512675608877	2.19993198395085	1.89722658939894	-0.326791487385814	0.629660355126374	-0.65376420316225	0.226666681104908	0.361135771370464	0.531268177212026	0.407799999999994	0.575703548393396
K00009	2.17216775773053	1.85709834776086	2.3690630996469	0.525084373055108	0.919307647797634	0.49787155316437	0.337774823495102	0.592534839469987	0.729447066441373	0.714700000000007	0.818030525516415
K00010	4.57197496583977	3.99399968371215	4.59128579351658	0.60232807335313	0.304014129417634	1.12669917269637	0.214000015743663	0.15997677452808	0.329705610355098	0.381599999999995	0.547943996853778
K00011	-7.99140346449893	-7.22157181569128	-9.24882008790492	-1.92302875824189	2.98394170097242	-0.554967511518529	0.230666680719594	0.35995915889129	0.502452396337833	0.458499999999997	0.567349199883045
K00012	6.32197082136006	5.65039806801433	6.75054006368602	1.10044204796336	0.330579694183584	3.48387847262933	4.67861010389608e-05	0.0228455815275382	0.11045579415234	0.0999999999999986	0.197132258007463
K00013	6.054160705171	5.39280755046286	6.62460366419399	1.23255764107525	0.234174564258594	5.38437939024037	4.67861010389608e-05	0.0044571414548234	0.0567775974921691	0.0999999999999986	0.197132258007463
K00014	6.62673142324337	6.12190494288334	6.9963988164071	0.977440493970492	0.325531377038947	2.7422710639276	4.67861010389608e-05	0.0344672143282515	0.141871774352599	0.0999999999999986	0.197132258007463
K00015	0.86285068992457	1.40092434598221	-1.59455860581017	-2.98911125871475	1.08490268057156	-1.84644058554235	4.67861010389608e-05	0.0895093412714016	0.244526703213366	0.0999999999999986	0.197132258007463
K00016	2.34236533958058	1.96072256356015	2.7553809470554	0.204541611924985	0.85176330357337	0.347523150168337	0.344000006400862	0.648993260221275	0.770180178725114	0.726700000000007	0.825816926417744
K00018	5.61523986940712	4.76270230902603	6.27429138632186	1.43983711716133	0.269085140078385	5.3832452796761	4.67861010389608e-05	0.00191948362774603	0.0431920327415221	0.0999999999999986	0.197132258007463
K00019	5.0399364322178	4.83382811884518	5.49968935667151	0.665482129051588	0.436392343528716	1.39780991478252	4.67861010389608e-05	0.206457209736034	0.374688723157822	0.0999999999999986	0.197132258007463
K00020	6.97537576328333	6.31865544493938	7.69503006404968	1.36674735202603	0.198824829204936	6.62315654150118	4.67861010389608e-05	0.00075125520836711	0.0371015350623531	0.0999999999999986	0.197132258007463
K00021	-1.16678266597462	-1.18481478687428	-1.14176352906077	0.0338235345268956	0.278527925454659	0.103727637422416	0.454363759197163	0.581564929037132	0.698590984650673	0.6865	0.770471602856742
K00023	4.70819632117469	4.47291510923065	5.02958732291461	0.573673190075743	0.2117313759036	2.57577682294432	4.67861010389608e-05	0.216730510526087	0.384033336315924	0.0999999999999986	0.197132258007463
K00024	5.78767328908376	5.09582803372885	6.45355641586937	1.35586932899169	0.221139198623102	5.95249442383963	4.67861010389608e-05	0.00307827981739924	0.0511612813809164	0.0999999999999986	0.197132258007463
K00027	5.20616216699504	4.44290528784593	5.98714629053621	1.46683360963925	0.399124689107563	3.57130195894035	4.67861010389608e-05	0.00744544606518644	0.0630993917044301	0.0999999999999986	0.197132258007463
K00028	-9.26352233548625	-9.35888104184657	-9.19800431479269	-0.272841577105687	4.83787023927763	-0.0542013640056992	0.473333334323805	0.620001898620312	0.73203354550681	0.754600000000002	0.8249971079273
K00029	6.32800918104242	5.67363307137939	6.80876999759806	1.13689344934301	0.226829229296832	4.62942184853557	4.67861010389608e-05	0.0532296259710996	0.184215165092387	0.0999999999999986	0.197132258007463
K00030	0.542226417042151	0.727172434638506	0.209040813571551	-0.499154017622662	0.895080930452188	-0.417472584717629	0.382666671265601	0.496866424335042	0.654327308198416	0.842500000000005	0.8974822874101
K00031	6.8732292093474	6.11665838944139	7.45022219699481	1.33469460303049	0.236890951917816	5.26841304197105	4.67861010389608e-05	0.0107835349924728	0.073276996327656	0.0999999999999986	0.197132258007463
K00032	2.64384554898759	2.5155931236611	3.3301002813174	0.863079813220169	1.24070303870093	0.826177027832851	0.219187223699967	0.235735897542727	0.402133400998042	0.396999999999994	0.566001309823199
K00033	4.70160725564704	4.59856109138596	4.77097718250356	0.189243633540713	0.236732905420833	0.84180014000965	0.139240534162582	0.267144746745373	0.434588265114315	0.246099999999998	0.389696028119521
K00034	3.89159754626243	3.48034661438073	4.13194080285388	0.658176510755367	0.23196464012747	2.44495201336711	4.67861010389608e-05	0.0983018929577589	0.25712032466977	0.0999999999999986	0.197132258007463
K00035	2.12560693800112	1.97473173935245	3.09653476895103	1.10941782369552	2.13525046347173	0.554282424857885	0.226666681104908	0.348945796620657	0.519846661223726	0.399999999999994	0.569480177265873
K00036	5.89033103345727	5.58334866350851	6.07695931801789	0.493272520760484	0.159061762702694	2.6283529082757	4.67861010389608e-05	0.166974288016969	0.33685574091578	0.0999999999999986	0.197132258007463
K00038	0.398982600256596	0.94540414945375	-1.01176992687373	-1.98954529989287	0.400856105527459	-4.82108430615099	4.67861010389608e-05	0.00631770769822088	0.0586803947890986	0.0999999999999986	0.197132258007463
K00039	1.20916050272421	1.16682511544389	1.37525693641824	0.973650544887704	1.49708681322425	0.379489674786069	0.227333347706512	0.348583735923066	0.519360705294102	0.428499999999993	0.591978128954634
K00040	2.48555893349947	2.54719686323231	2.38405791890101	-0.171974760494984	0.475859333252445	-0.414063199563657	0.317788149010891	0.504456105721494	0.660161189501247	0.642699999999997	0.756994477005012
K00041	3.45625056598747	3.01925985202072	3.66372806441547	0.641862332589501	0.349192100787671	2.0235919502265	4.67861010389608e-05	0.0831363566065174	0.235555753173171	0.0999999999999986	0.197132258007463
K00042	4.95145584595849	4.63597479860445	5.25872244919	0.654925161537904	0.381263976650152	1.64684431178925	4.67861010389608e-05	0.120472608980501	0.285430169636187	0.0999999999999986	0.197132258007463
K00043	-6.25035562392391	-9.23035577135778	-4.99936263674299	2.96171016741702	5.4236168721288	0.467878464539599	0.282478357691991	0.461321429375614	0.605391194982124	0.558499999999994	0.677244148496877
K00045	3.50044142944777	3.44629605410028	3.96540062206432	0.52756574343652	0.563664432695354	0.99022576217505	0.137908089455061	0.285257409562381	0.453695054859813	0.267799999999999	0.414004298859262
K00046	4.59860332569004	4.55826174211605	4.72101953166427	0.249249521464911	0.235857960702425	1.0580216625582	0.0266668355172087	0.331965563502519	0.502659425198272	0.124599999999998	0.22937732388814
K00048	0.151300663482829	-0.517150170165779	0.785843423776083	0.360492610890891	1.74111616910765	0.206262160771308	0.42238507955727	0.884873292745952	0.93017751816206	0.934300000000003	0.958046193388406
