rn	rab.all	rab.win.hide.untreated.Day.1	rab.win.hide.untreated.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K00001	6.67690035209856	5.61413537051912	7.31330794960753	1.69372224541655	0.308089213673489	4.85305970219583	4.67861010389608e-05	0.0124216618069606	0.0449437138569842	0.0999999999999986	0.154379986830979
K00002	-7.69416858646932	-3.8577609592075	-8.85403310384266	-3.88573325525172	5.42429559398979	-0.672059335268383	0.231845450298827	0.409033552138763	0.485952160717694	0.473299999999993	0.550457053535561
K00003	6.36039710780382	5.42233048218202	6.99336687863133	1.56924256346641	0.246066924614727	5.77830009259131	4.67861010389608e-05	0.0018958726459194	0.0252423527627479	0.0999999999999986	0.154379986830979
K00004	3.29281217697234	2.58778123632678	4.29545772584738	1.66244994131795	0.405982834069738	4.19929133338632	4.67861010389608e-05	0.00473568091556315	0.0283944295423506	0.0999999999999986	0.154379986830979
K00005	2.56899805337495	2.25024043261338	3.01045145779967	1.46615828993392	0.854484378272038	1.79573588839075	4.67861010389608e-05	0.0409786712603523	0.0887702688362944	0.0999999999999986	0.154379986830979
K00006	-6.70476630790957	-4.75731618603436	-8.72680049600473	-3.80465307085614	2.90630372055098	-1.22160588460157	0.0699534255457858	0.126869568315118	0.191872340445752	0.174999999999998	0.239965000854687
K00007	1.21908128148093	0.787207957877375	2.16174825039074	1.36885484638918	0.592795172826197	2.37649728377474	4.67861010389608e-05	0.0767854497258436	0.136249142775655	0.0999999999999986	0.154379986830979
K00008	2.88736994244477	2.93223603949972	2.27592273544449	-0.684246093138063	0.62325066615239	-1.08668557760403	0.0900000463527226	0.194563134338121	0.276960355986074	0.200899999999998	0.271727694455128
K00009	2.61960956961833	2.56681113683833	2.73886536247988	0.341932325069387	0.679308523041615	0.484297397468922	0.334443711074774	0.465215906882444	0.560642032288758	0.700000000000006	0.765523312437766
K00010	4.40677670295702	3.81035857019873	4.96444331834464	1.22803283904663	0.193200062404076	6.54839676351966	4.67861010389608e-05	0.000791499721823544	0.0252734495153467	0.0999999999999986	0.154379986830979
K00011	-9.17341094800359	-9.51655847918529	-8.88844492044519	0.445726306649551	4.47757682561435	0.0873962138027737	0.458000001566609	0.556983803554599	0.629819256903613	0.6841	0.735270068448409
K00012	6.47207996963676	5.63381555502641	7.12666817097517	1.49125571677862	0.204335514097017	7.37718158311019	4.67861010389608e-05	0.00149599721613281	0.0252417191817856	0.0999999999999986	0.154379986830979
K00013	6.33201730667863	5.41422065867086	6.99335401497016	1.50439936480899	0.221857371674223	6.51853627939626	4.67861010389608e-05	0.00278426024938577	0.0252681636594176	0.0999999999999986	0.154379986830979
K00014	6.69391015131805	5.991843376016	7.37167669315444	1.57182417399921	0.312247624274697	5.04832936056394	4.67861010389608e-05	0.000946635462520255	0.0252417191817856	0.0999999999999986	0.154379986830979
K00015	1.71510350037605	2.40986880849405	-1.20004917404984	-3.6164956996933	1.19819874965502	-2.38425641398394	4.67861010389608e-05	0.0660024223619993	0.122243608938584	0.0999999999999986	0.154379986830979
K00016	3.16940690795489	3.19759798702818	3.12214858213665	-0.0972892839180695	1.21221594790624	-0.114593802798074	0.35443038562977	0.766678626852252	0.823321530464247	0.764200000000003	0.811719808558519
K00018	5.8670212456386	4.68726035618809	6.64374267633735	1.89297136799703	0.251085851768314	7.21216976167911	4.67861010389608e-05	0.00565632991610407	0.0295431232555512	0.0999999999999986	0.154379986830979
K00019	5.06704008829572	4.00615037385165	5.86385610851278	1.85719312371149	0.475082662747462	3.17853670649548	4.67861010389608e-05	0.0208827446826653	0.0593528735763913	0.0999999999999986	0.154379986830979
K00020	7.47325612907416	6.56682993315985	8.06560439225663	1.49750369998576	0.355730238599057	3.53763795660197	4.67861010389608e-05	0.0141723651179794	0.0479752163572599	0.0999999999999986	0.154379986830979
K00021	-1.05233098326397	-1.21203651949156	-0.776464662267539	0.433965496394031	0.247291704491314	1.63311642153633	0.0460000957904738	0.0878508087677187	0.142886329079419	0.152999999999998	0.213529495151593
K00023	4.66831576018693	2.71388984155958	5.40614196298046	2.59583484785788	0.210555491338726	9.70979957834227	4.67861010389608e-05	0.0420904656506924	0.0904195618595877	0.0999999999999986	0.154379986830979
