rn	rab.all	rab.win.hide.lime.Day.6	rab.win.hide.untreated.Day.1	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K00001	5.76859505914272	5.81969277823058	5.68877258514087	-0.132723710689517	0.26271885250147	-0.291059430931751	0.351765495684751	0.959180356778936	0.978743880580809	0.748300000000007	0.873122627627607
K00002	-4.80439303129802	-6.51465947251299	-3.79084082923138	0.605463379608734	4.38013304012551	0.188687393038804	0.367754835372621	0.78036126683434	0.879770894151255	0.774300000000006	0.883753021833305
K00003	5.67770549153069	5.90920742489778	5.49502879072024	-0.261667096763143	0.413595486026964	-0.661953867322604	0.232000013927131	0.389556654096777	0.667572422279583	0.446799999999993	0.697508840889909
K00004	2.69515858397639	2.73952495853125	2.65886573002431	0.00107376222761424	0.319859068224324	0.00444274312312729	0.49866666671605	0.907780822523092	0.950773960783079	0.975700000000001	0.987756895826232
K00005	2.41117612361379	2.8949845335842	2.32519509899445	-0.947620392219963	0.903976469234449	-1.08386082026202	0.00666291424472393	0.16104879904492	0.619422935661166	0.108199999999999	0.53009123297723
K00006	-4.27874498167515	-4.06950039551623	-4.68567085240845	-0.786165412407962	1.3895782148919	-0.539568685237935	0.263157906031298	0.382994159129101	0.674503508824975	0.535899999999994	0.746175862341367
K00007	1.39651585570244	2.08300750477266	0.860489569810406	-1.22198793784033	0.330312874142537	-3.47340857487576	4.67861010389608e-05	0.030282723748496	0.618606787565125	0.0999999999999986	0.529460364870339
K00008	2.98425205782815	2.69926110656425	3.00622110528776	0.294496230289621	0.223877444820384	0.881616635033546	0.238507674872341	0.289844558388968	0.633133116007581	0.442299999999993	0.696770905581164
K00009	2.52713845844834	2.34628702497445	2.64187759144522	0.21070615707397	1.03977676774469	0.162861355028546	0.445036644296342	0.965075523951598	0.981936468592102	1	1
K00010	4.14934719195877	4.48103649717713	3.88199796539521	-0.612863954329725	0.203728135157992	-2.62716518795512	4.67861010389608e-05	0.0778609412939569	0.619422935661166	0.0999999999999986	0.529460364870339
K00011	-7.487491499492	-6.71877863185188	-9.38495687023784	-2.45349385432225	3.28174290616141	-0.668542531361318	0.191872103651861	0.29988384433561	0.655204618390668	0.398199999999996	0.666730406271416
K00012	5.85171017750794	6.14322995332795	5.70633731083638	-0.43797933311649	0.372505746780143	-1.10184488205991	0.11933336687211	0.200200210337204	0.619422935661166	0.204999999999997	0.532904166132196
K00013	5.75835879212097	5.88652217164685	5.48739483452806	-0.238204795635189	0.373951250570294	-0.942522516357925	0.130666696771979	0.210115275798935	0.619423031980725	0.227399999999997	0.546995218681327
K00014	6.114152642332	6.61529782739446	6.06415373207009	-0.549035832065221	0.414994224701348	-1.09844755798628	0.217188556354235	0.18796507448261	0.619422935661166	0.399999999999994	0.671631928137239
K00015	2.36229107643981	1.88678738523698	2.48308417982214	0.60731459401151	0.364730359657467	1.55482952291094	0.00599676873973881	0.119353731708555	0.619422935661166	0.104999999999999	0.529460364870339
K00016	2.82803109641635	2.4471163532694	3.27339976916239	0.672015663420231	0.852525504810742	0.525914171300166	0.333333340277776	0.541879906328165	0.745546691064472	0.701200000000006	0.849553539680559
K00018	5.22940648546306	5.25710161980369	4.76114642410435	-0.489367240277841	0.400320590364003	-1.19490312905193	0.215189889012032	0.140218334880459	0.619422935661166	0.389499999999995	0.663722023193068
K00019	4.41154863192097	5.32843665826755	4.07954313244805	-0.70608655450385	1.1032825687527	-0.698092511781646	0.332000007014083	0.432855681575126	0.690961212794927	0.699700000000006	0.848778029231116
K00020	6.75166184887057	6.82584812745377	6.64185237077898	-0.181573786100474	0.271655511564945	-0.383554443222095	0.337108601010849	0.781545585439242	0.880984027934462	0.708400000000007	0.853133027467929
K00021	-0.924703811866014	-0.691013209580055	-1.14202545571408	-0.455372196990254	0.203343252092349	-2.22182889315458	0.00599676873973881	0.040626750974662	0.602943535101065	0.107999999999999	0.530575725813432
K00023	3.6598060443775	4.96488163737724	2.7863463138757	-0.824299359752746	1.47212925591559	-1.15827004359555	0.118587642003341	0.240551604717134	0.619767887816578	0.199999999999997	0.529460364870339
K00024	5.4871890541307	5.58915948360114	5.26867566370348	-0.182195374007292	0.360555957628641	-0.768516486655455	0.213857444119241	0.301875915247365	0.632430611739782	0.396999999999994	0.669280075627292
K00027	5.07162795059548	4.92918949915283	5.1875541197301	0.261615493348979	0.554225152870559	0.423954920217914	0.321333340919238	0.540792512131261	0.744952761446903	0.700600000000006	0.849264431174752
K00028	-10.0210748562301	-8.80034580877616	-10.8694342127663	-2.58363947123302	4.78134401045832	-0.485973654686314	0.29180547234046	0.446716037378377	0.728717476827145	0.553999999999997	0.758240641173562
K00029	5.54483812835613	6.16494378030413	5.5202074750758	-0.642960073843621	0.50063359893547	-1.00285430288412	0.226000014503648	0.239991081374376	0.61963572758829	0.399999999999994	0.671631928137239
K00030	1.00888815347438	1.21673855185163	0.859210661263131	-0.198520310735486	0.458371752625228	-0.416270378746539	0.404000003691644	0.602972564111351	0.779997703553758	0.861400000000005	0.928574616744721
K00031	6.33942694990219	6.60914235161265	6.15601519303035	-0.35703413123988	0.393583164764006	-1.00592582713725	0.108594307875146	0.211606888557395	0.619422935661166	0.200399999999997	0.529715214997777
K00032	1.69972867425279	3.00915744819574	0.968425138752193	-1.0660943400885	1.4877425365378	-1.1068872586256	0.119920086598846	0.225617695471368	0.61958489429879	0.200999999999997	0.53006890029192
K00033	4.80663839255651	5.09222569458849	4.78554688699234	-0.306868080940524	0.34204018211863	-0.861448314509595	0.218666681913453	0.277847709910279	0.625793860664114	0.399999999999994	0.671631928137239
K00034	3.43278863375147	3.97343683665708	2.94206608587875	-0.582437606194007	0.753189331606578	-1.22777076541799	0.106000038497133	0.161071403552009	0.619422935661166	0.199999999999997	0.529460364870339
