rn	rab.all	rab.win.water.lime.Day.1	rab.win.water.lime.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K00001	5.76214037208782	5.22269582703792	6.05928080231233	0.840467200094932	1.10277260783572	0.973738105129065	0.104666705727888	0.214750845334385	0.845822221756164	0.205599999999997	0.860985704076129
K00003	5.86312367165996	5.79584763401659	6.15355155089054	0.344181381492954	0.678264573246844	0.651618603767834	0.217854778802425	0.331987421683532	0.845822221756164	0.399999999999994	0.860985704076129
K00004	2.97393754309289	3.70111865707785	2.91540198380435	-0.757463690524866	1.06155508236213	-0.747446236878498	0.2245170033051	0.230433020600081	0.845822221756164	0.399999999999994	0.860985704076129
K00005	1.09172023832479	1.19594119375861	-1.85911083143876	-3.22147634194852	4.59355769591926	-0.723868713677971	0.226515670662956	0.283776300165461	0.845822221756164	0.399999999999994	0.860985704076129
K00006	-7.21877845352472	-6.93850382716052	-7.38960512513972	-1.51607544369226	6.72789974124285	-0.216971820539256	0.418387744606937	0.610321181851229	0.891462937681267	0.743400000000003	0.935817146874316
K00007	2.83573779050457	1.33341603682668	2.89280438546012	1.59150987981463	1.25451836447342	0.907066669527944	0.230000014116313	0.28857271343212	0.845822221756164	0.400299999999994	0.861019535984961
K00008	5.27567341359598	4.66772642883584	5.87068876852604	1.19782864103219	1.35007270568854	0.697530072208682	0.210526331894529	0.302288447638955	0.845822221756164	0.395499999999994	0.867454716370775
K00009	4.2533479554938	3.73343201638101	4.71166824509374	0.999924223655325	1.68234560076669	0.943086831192431	0.136000028682998	0.256626855762499	0.845822221756164	0.237299999999997	0.86113343155215
K00010	4.07465449431503	3.62434104396755	4.34434825221217	0.715959631968247	0.752095401174502	0.841817150515862	0.196000017862304	0.314586877371958	0.845822221756164	0.355399999999996	0.861576226221225
K00011	-6.33331314467609	-6.57047991731875	-6.1019623288475	1.67872423024742	6.94758409192528	0.200527921772834	0.418000003120978	0.692269293897997	0.900623766403691	0.780100000000001	0.940397292688495
K00012	5.96290329230098	5.57666369727692	6.02535015804594	0.448966114348882	0.522121885157124	0.61501220418936	0.333333340277776	0.548538567838903	0.847022231073485	0.700000000000006	0.906056545998793
K00013	5.96195018536669	5.749010416708	6.12927599698657	0.380530449724096	0.765705398399856	0.407124280656524	0.340000006601966	0.558885598484929	0.848185213462973	0.711100000000007	0.90937366710814
K00014	6.36913114181587	6.276558204237	6.63173013064546	0.348533574696796	0.785735380452698	0.571266779750369	0.221333348304743	0.387368180806279	0.845822221756164	0.400299999999994	0.861028867867544
K00015	2.71728173255814	1.62045243692067	3.72582137635715	0.228516405066771	2.87078643797785	0.0453415577402704	0.412666670003021	0.624166550770796	0.864851970349756	0.918100000000004	0.973968594194308
K00016	5.52853560196027	5.28266093231357	5.83385951223424	0.552526598629261	0.991353603372138	0.507046907263952	0.352000006007865	0.474865864198218	0.845822221756164	0.748300000000004	0.926338313914216
K00018	3.39467495242802	2.80557069865621	3.73846471415463	0.666088736062148	0.908780673636187	0.739467181151687	0.216522333906437	0.349405524319129	0.845822221756164	0.392799999999994	0.864011301320218
K00019	4.71819519112825	4.63298120152098	5.16473116808963	0.532642236003723	0.746968203922694	0.774287962850389	0.227333347706512	0.273644634681596	0.845822221756164	0.396199999999995	0.860985704076129
K00020	6.07857117234593	5.88728485144509	6.25304004692442	0.58842352985446	1.26274911615543	0.590295943352129	0.332000007014083	0.38317965895642	0.845822221756164	0.699100000000006	0.905881743574953
K00021	-5.01908301545582	-8.87082784994087	-1.08715549415042	8.69629594604691	4.91892887350074	1.79561371717266	0.00266661625624018	0.0565501597278382	0.845822221756164	0.104199999999999	0.860985704076129
K00023	4.70938884378817	4.06391470957709	4.82105468544263	0.775485311470072	1.15294009571391	0.738067431852805	0.227181893116267	0.236249959313923	0.845822221756164	0.399999999999994	0.860985704076129
K00024	5.02367038338673	5.04215932913128	5.00665768330591	0.0476707453352372	1.20706434597375	0.0429350161954044	0.428381081984987	0.800631079788774	0.927744881588689	0.925900000000004	0.976289682394622
K00027	4.76768559841769	4.71594813362998	4.87845095284674	0.164049924688012	0.811732496719571	0.211699959904179	0.367088612884815	0.650540396103522	0.871663672051707	0.790900000000008	0.934108554015573
K00028	-7.31042202339756	-7.26444180625202	-7.38681713100039	0.14039880972329	4.06629018907917	0.026509078794025	0.482000000667532	0.528161908890768	0.879272880383127	0.6439	0.92013272052697
K00029	5.8408834503567	5.7921760659101	5.87958672394087	0.839338392889613	1.23727986100578	0.618707775373481	0.342438380887421	0.385050650754117	0.845822221756164	0.706600000000007	0.908051543978939
K00030	-0.000868578234929807	1.33062284018932	-2.31138711926017	1.92700094559604	6.55718464522453	0.225256548928723	0.443037976818143	0.800908655015553	0.92787694428161	1	1
K00031	6.20048198738942	5.92999937990042	6.42551215699885	0.497599999111272	0.85913412222129	0.491673635275755	0.329780153690359	0.473735779734298	0.845823422734984	0.700600000000006	0.906236189435802
K00032	-0.818477779061848	-0.91424255771756	-0.538138583443629	2.34912073151287	7.59716450794518	0.235417406208022	0.329113931207269	0.671866030687743	0.891159811683259	0.674499999999998	0.914928575427354
K00033	5.63566347341842	5.45639584201478	5.74940609767228	0.222324274588363	0.956981093000945	0.202868196438854	0.388666671005231	0.911769555643216	0.969472862772322	0.846700000000007	0.951106959858259
K00034	3.64645006541795	3.15701068582151	3.89686141625614	0.725546310950072	1.71547104928797	0.379198685451788	0.349766828226818	0.636731239934211	0.866672500256701	0.735400000000007	0.916968971740244
K00035	-0.0598439170050682	-1.05080794496174	1.33498117989505	2.37297920861303	5.73723942747657	0.456742694431029	0.221185891049129	0.395242295639324	0.845866811878181	0.399999999999994	0.860985704076129
K00036	6.19530168142674	6.09340388670204	6.21843037321068	0.558859148684458	0.95049645018644	0.662961690197175	0.227333347706512	0.38320085751611	0.845822221756164	0.417099999999994	0.863125549790698
K00038	1.46558134824066	2.33579757271013	1.36227793659204	-1.03679464116893	1.35074930214003	-0.809723261989333	0.224000014701966	0.303698655525066	0.845822774022923	0.408899999999994	0.862432120883033
K00039	0.631203503327811	0.351123148673295	1.83798255218926	2.67261845761751	3.94774854891396	0.712017267994356	0.227333347706512	0.279146779390436	0.845822221756164	0.399399999999994	0.860985704076129
K00040	2.3368770348683	2.39342223283254	2.23809450445335	1.00158175223768	2.05901097591486	0.480240234319318	0.440666668895584	0.466821955655406	0.845840504603824	0.982000000000001	0.994314682374285
K00041	2.75183029948477	3.2153607021787	2.11796641621216	-1.08659710714016	2.33141671678676	-0.46071687163437	0.302666675323749	0.476824476089719	0.845836146671232	0.606099999999996	0.892056179327398
K00042	4.78367861543181	4.09920167646202	4.83668840583372	0.886313130375904	0.832173801936857	1.11598048475016	0.121252531203847	0.126049262259228	0.845822221756164	0.249799999999999	0.860985704076129
K00043	-6.50983069407061	-7.73904012541212	-5.52941751133074	2.06694259303134	7.31301550674497	0.2899580608238	0.34533333966786	0.617963377866735	0.885532791760737	0.672099999999997	0.916547521084162
K00045	0.671024725336437	0.846063430306536	0.44001844860974	-1.75288100942615	5.72119916041605	-0.324339310757983	0.340666673234893	0.487738538429101	0.846119719163768	0.721300000000007	0.912773041816462
K00046	5.03977013460869	4.9517515943949	5.11322393259055	0.520482978565051	1.34205530558296	0.424197843836842	0.334000006909769	0.548625743842329	0.846809325205567	0.697000000000006	0.905507750705749
K00048	-5.92178601152467	2.02279715966325	-7.37224668727021	-8.5335314076323	6.9897819461934	-1.04538984665261	0.175333354124112	0.21596644353564	0.84767286972765	0.361899999999996	0.872946856512934
