rn	rab.all	rab.win.water.lime.Day.0	rab.win.water.untreated.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K00001	4.74387955826239	5.0388550146168	4.61643677806669	-0.458458179988586	0.643212626128564	-0.975156800279867	0.132578310689208	0.211093906873701	0.379108261632646	0.231599999999997	0.382862869087353
K00003	5.68535470928566	5.63522460455389	5.73326783451985	0.408649752890841	0.446780290566746	0.923208602185119	0.154563648694759	0.212359646946073	0.380247220387774	0.282999999999997	0.432012380974318
K00004	3.94648018317287	3.53269711682807	4.26486172217904	1.11289458014221	0.515359508035048	1.90399613448208	4.67861010389608e-05	0.0681249682787088	0.306499541526008	0.0999999999999986	0.254764156212911
K00005	0.937903307668035	1.01597322099156	0.858107957309862	-0.37417511129632	1.47046563810648	-0.231733826540236	0.31978681645501	0.495616663789962	0.615024934568877	0.639999999999998	0.731474232028655
K00006	-9.06710689172719	-7.16251348771711	-10.271584995039	-4.19106920529538	6.56657046913227	-0.666045850884015	0.235333346951534	0.364726958769369	0.512257549146302	0.473599999999997	0.582946443058333
K00007	0.838901145368276	1.14400242295375	0.244091927972738	-0.895076402165707	1.67471704644799	-0.542163783845502	0.223184558401627	0.367748715721883	0.510234071048276	0.399999999999994	0.558307520214996
K00008	2.34617205067568	4.48517877137678	1.42851696592069	-3.06589386307455	1.24396977293987	-2.5921189460812	4.67861010389608e-05	0.0302827161235029	0.253040673339541	0.0999999999999986	0.254764156212911
K00009	1.05233250343482	3.54764593559671	-0.0251883810060622	-3.5658076391898	0.938918242391773	-2.59583346410396	4.67861010389608e-05	0.0468738581514972	0.287182664304278	0.0999999999999986	0.254764156212911
K00010	4.14806529086559	3.4239625585272	4.44554840154874	1.02330729870314	0.801038179396662	1.20473112465885	0.107928085623509	0.121399423128194	0.335553697738017	0.199299999999997	0.349013330889055
K00011	-8.9271150849106	-6.83980066145759	-10.2550686640428	-4.41668703331882	5.35711794996912	-0.701316482525579	0.215856111459035	0.333097210812409	0.488574512814552	0.422799999999998	0.540832720350122
K00012	6.18784894235479	5.41915338413766	6.39158431550652	0.97104932497673	0.932107476872405	1.06084002894399	0.132578310689208	0.159846088740752	0.356764237893182	0.239599999999997	0.390625910195105
K00013	6.00662754024128	5.58885837900495	6.22795227934616	0.768789553926612	0.86157882285783	0.962195746988061	0.109926752387958	0.168107652959451	0.360419504835181	0.200399999999997	0.35010168150208
K00014	6.28692962440196	6.11785293708463	6.62281661594775	0.808088974640037	0.628515082542109	1.37854937158522	4.67861010389608e-05	0.0951436715232682	0.322118926331123	0.0999999999999986	0.254764156212911
K00015	0.15373770671896	1.45964901209833	-1.27311238874644	-3.00967311232765	1.03376966727079	-2.77964535306017	4.67861010389608e-05	0.0360156598785157	0.26610869931008	0.0999999999999986	0.254764156212911
K00016	2.42179193742415	5.09914914258434	-0.133946170607857	-5.67636193627715	0.959940928387282	-5.63097115239418	4.67861010389608e-05	0.0116806749823459	0.177650433768884	0.0999999999999986	0.254764156212911
K00018	3.95961384171954	2.64718290708084	4.58361769146492	1.93852151321875	0.739190861003316	2.39892371504881	4.67861010389608e-05	0.035331548993379	0.265321875243573	0.0999999999999986	0.254764156212911
K00019	4.52850709774303	4.4320323124362	4.77679098581792	0.348310274654615	0.472166022702901	0.789240697576517	0.18121254485065	0.251709148001112	0.41079151073041	0.332099999999996	0.485137034608951
K00020	5.91149492469572	5.72725287475974	5.94469500024934	1.02090714052331	1.29099664371945	0.826511509880584	0.223333348102116	0.261034852099285	0.417722646903546	0.399999999999994	0.558307520214996
K00021	-7.46648269849458	-8.97141889546155	-3.28892629311264	4.67548862576214	4.54905435785785	1.01589438477068	0.143904090685488	0.197486431332991	0.383754435955708	0.294699999999998	0.439124277659948
K00023	4.44578331650184	3.86400836651114	4.56959859068738	0.608885151911118	0.992413901204335	0.692857510269484	0.221185891049129	0.294482102481112	0.44694991848934	0.399999999999994	0.558307520214996
K00024	5.68941849456459	4.87863859352361	6.03564501362724	1.16071364329095	1.09295699465747	1.05150680294631	0.116000034673416	0.179369196417668	0.36329993697997	0.201599999999997	0.351325626550604
K00027	3.80581343235557	4.51708788918112	2.80200963703801	-1.70806288677514	0.334421689897964	-5.06133318101845	4.67861010389608e-05	0.00458284726622229	0.12506522582062	0.0999999999999986	0.254764156212911
K00028	-8.9554736133675	-7.46937545205403	-10.2269076284115	-2.52755014885925	3.94186843026453	-0.567393433391096	0.231179227843191	0.360048753689744	0.508436735090888	0.441199999999997	0.556514091770238
K00029	5.96827084489905	5.63345188854932	6.46240071804529	1.51451066267722	1.17786834480109	1.4564747528418	4.67861010389608e-05	0.0786459142397174	0.312650748648261	0.0999999999999986	0.254764156212911
K00030	-0.869623253636087	1.14943821260704	-1.47525171652964	-2.05402619225137	2.35880530315768	-0.295428728956731	0.333333340277776	0.843603122291804	0.886647592366255	0.700000000000006	0.773193329173357
K00031	6.43908902975322	5.77134405179173	6.81325176894039	1.16425417518878	0.739608885949557	1.60869236428144	4.67861010389608e-05	0.0595195511715707	0.301736014700775	0.0999999999999986	0.254764156212911
K00032	1.01660269722002	-1.09661860221877	2.31819425152574	3.47527218268537	2.86622725036513	2.27163501811648	4.67861010389608e-05	0.177213961333511	0.363988605770266	0.0999999999999986	0.254764156212911
K00033	5.32517514989493	5.29672995637877	5.34207463725631	0.0499932314044758	1.48945087373465	0.0353089235690074	0.454363759197163	0.924591029731152	0.947791706574351	1	1
K00034	4.42916459687454	2.9934126357921	5.13644567508866	2.14732870191201	1.88553426724067	1.06795040960311	0.117255197417657	0.180130191686908	0.363346551702339	0.199999999999997	0.349696264074891
K00035	0.998220782802814	-1.21695743408193	1.7460518867543	3.1365443853536	2.68584259191621	1.41628750191957	4.67861010389608e-05	0.208952581779815	0.38193878915693	0.0999999999999986	0.254764156212911
K00036	5.95620279876655	5.93332957837101	5.9694968873198	0.262624753318952	1.18750113548916	0.243253739479527	0.355762830602743	0.554936846307089	0.662789475032145	0.756700000000007	0.815921895706573
K00038	0.159593622941153	2.18335286642324	-1.21335243342713	-3.30488883619799	1.73535838849927	-1.92078446536284	4.67861010389608e-05	0.0367294258059221	0.267117221900654	0.0999999999999986	0.254764156212911
K00039	0.101198726783737	0.165450062796343	0.0633548229489716	0.0808692968450044	1.91836128286669	0.0361292620161011	0.464357096594903	0.600874643717416	0.698980509319036	0.955600000000003	0.966440418574487
