#Formatted for biom
#OTU ID	1.Day.6	1.Hide.Day.6	2.Day.6	2.Hide.Day.6	3.Day.6	3.Hide.Day.6	4.Day.0	4.Day.6	4.Hide.Day.6	5.Day.0	5.Day.6	5.Hide.Day.6	6.Day.0	6.Day.6	6.Hide.Day.6	U.Hide.1	U.Hide.2	U.Hide.3
f5262a67a6d72f721ef217b29bbf507c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
09afed0df8b4f6aa1576441d91582771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19462c3f7b198a645752106502e5e728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
683d0d3cc5a5fae0e7067ee2b74551b8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9159183e47c3e1d6005ee3245b32a87a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
47da3f4c30ec6458dbb0cf543cdd9cdb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e6952cb452e6f435b41a26d4ccc5a3ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ab09d4bd93598d6929da18d4669db1db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
7634477ca0f351dead351209f1915105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
95eb8da2676656bbe349a0060e9d2679	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
9bc5714f4195aa47082a76fa0e234204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
a98b4a9227a72dd797b959190f60f188	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ecfd59fee2ae4e998c9690db9b9fc6e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
5baf4f9add4cc2e3b49a6d861f54f548	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9420da890a049f345719c4bcf3aa2969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
e7bdadd747b855052acfc997e774407b	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2a77e3686b82f61ea47f6061af736f33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
